DEPTH,CPERM,CPOR,RQI,PHIZ,FZI,Facies,PHIE,RESD,RESM,RESS,WELL
3350,,,,,,4,0.101,36.363,41.052,42.565,wb7
3350.5,,,,,,4,0.092,48.194,55.163,44.204,wb7
3351,,,,,,5,0.078,59.288,70.791,22.611,wb7
3351.5,,,,,,6,0.096,60.937,76.096,8.946,wb7
3352,,,,,,7,0.111,53.268,68.207,8.143,wb7
3352.5,,,,,,6,0.130,44.569,56.865,5.077,wb7
3353,,,,,,6,0.135,41.381,51.716,3.188,wb7
3353.5,,,,,,4,0.116,44.797,55.132,6.451,wb7
3354,,,,,,4,0.088,53.436,66.380,36.361,wb7
3354.5,,,,,,5,0.082,64.210,82.560,26.059,wb7
3355,,,,,,5,0.083,71.315,95.566,43.860,wb7
3355.5,,,,,,5,0.086,72.138,99.153,41.792,wb7
3356,,,,,,5,0.095,68.326,94.346,23.459,wb7
3356.5,,,,,,5,0.106,62.829,86.283,13.723,wb7
3357,5.89,0.08,0.27,0.09,3.13,6,0.105,58.466,79.595,11.849,wb7
3357.5,,,,,,7,0.094,55.798,75.413,20.528,wb7
3358,,,,,,7,0.095,53.202,71.743,10.671,wb7
3358.5,,,,,,6,0.100,48.083,65.113,9.340,wb7
3359,8.48,0.08,0.33,0.08,3.89,4,0.080,39.998,54.358,20.112,wb7
3359.5,,,,,,4,0.051,32.563,43.771,15.093,wb7
3360,,,,,,3,0.047,29.177,38.527,16.953,wb7
3360.5,0.01,0.07,0.01,0.08,0.13,3,0.061,29.244,38.372,23.406,wb7
3361,,,,,,3,0.071,30.189,39.817,23.014,wb7
3361.5,0.01,0.07,0.01,0.07,0.14,3,0.054,30.424,40.413,22.174,wb7
3362,,,,,,3,0.051,29.083,38.831,9.944,wb7
3362.5,,,,,,3,0.050,26.950,35.820,10.482,wb7
3363,,,,,,0,0.042,25.599,33.402,21.075,wb7
3363.5,,,,,,0,0.032,25.806,32.771,21.630,wb7
3364,0.25,0.05,0.07,0.05,1.37,0,0.044,27.796,34.115,29.115,wb7
3364.5,,,,,,3,0.052,31.477,37.315,27.699,wb7
3365,,,,,,3,0.058,35.788,41.424,21.843,wb7
3365.5,0.01,0.03,0.02,0.03,0.52,3,0.049,38.146,43.957,22.301,wb7
3366,,,,,,3,0.034,36.894,42.791,29.327,wb7
3366.5,0.01,0.05,0.01,0.05,0.24,3,0.028,33.042,38.567,29.727,wb7
3367,,,,,,3,0.026,28.892,33.753,25.910,wb7
3367.5,,,,,,0,0.018,25.624,29.866,25.998,wb7
3368,,,,,,0,0.020,23.358,27.005,23.357,wb7
3368.5,,,,,,0,0.017,21.838,24.977,23.694,wb7
3369,,,,,,0,0.012,21.051,23.716,24.739,wb7
3369.5,,,,,,0,0.018,21.022,23.267,8.577,wb7
3370,,,,,,0,0.026,21.876,23.756,8.403,wb7
3370.5,,,,,,0,0.043,23.604,25.152,22.271,wb7
3371,0.00,0.06,0.01,0.07,0.11,0,0.046,25.832,27.183,22.324,wb7
3371.5,,,,,,0,0.036,27.883,29.015,25.127,wb7
3372,,,,,,1,0.033,28.697,29.421,22.206,wb7
3372.5,,,,,,2,0.066,28.252,28.404,16.431,wb7
3373,0.12,0.10,0.03,0.11,0.33,3,0.095,27.197,26.945,12.589,wb7
3373.5,,,,,,3,0.103,26.188,25.718,12.323,wb7
3374,,,,,,3,0.103,25.730,25.022,13.400,wb7
3374.5,0.12,0.11,0.03,0.13,0.27,4,0.102,26.300,25.124,13.641,wb7
3375,,,,,,4,0.104,27.685,25.849,13.884,wb7
3375.5,0.21,0.10,0.04,0.11,0.39,4,0.101,29.846,27.166,15.824,wb7
3376,,,,,,4,0.097,33.818,29.894,16.617,wb7
3376.5,0.08,0.10,0.03,0.11,0.24,4,0.099,39.629,34.228,18.602,wb7
3377,,,,,,5,0.104,45.623,38.917,25.366,wb7
3377.5,0.19,0.13,0.04,0.14,0.27,5,0.095,48.925,41.971,24.196,wb7
3378,,,,,,4,0.082,48.722,42.384,18.549,wb7
3378.5,0.02,0.08,0.02,0.09,0.19,3,0.057,45.919,40.558,22.379,wb7
3379,,,,,,3,0.046,42.414,37.786,29.709,wb7
3379.5,0.02,0.07,0.02,0.08,0.22,3,0.052,39.193,34.993,22.043,wb7
3380,,,,,,3,0.076,36.238,32.426,15.152,wb7
3380.5,0.17,0.11,0.04,0.12,0.34,3,0.087,33.753,30.259,12.483,wb7
3381,,,,,,3,0.090,31.701,28.478,13.228,wb7
3381.5,,,,,,4,0.087,30.197,27.130,13.810,wb7
3382,,,,,,4,0.092,29.389,26.359,12.251,wb7
3382.5,0.35,0.12,0.05,0.14,0.38,3,0.100,29.140,26.132,12.724,wb7
3383,,,,,,4,0.101,29.914,26.693,14.363,wb7
3383.5,,,,,,4,0.102,31.863,28.317,15.848,wb7
3384,,,,,,4,0.102,34.548,30.683,17.452,wb7
3384.5,,,,,,4,0.110,36.697,32.633,14.692,wb7
3385,,,,,,4,0.128,37.973,33.735,11.254,wb7
3385.5,0.06,0.12,0.02,0.13,0.17,3,0.137,38.826,34.551,11.879,wb7
3386,,,,,,4,0.131,39.594,35.458,21.070,wb7
3386.5,0.20,0.13,0.04,0.15,0.26,4,0.118,39.863,36.296,28.099,wb7
