DEPTH,CALI,CPERM,CPOR,Density,Facies,GR,Neutron,PEF,Perm,PHIE,RESD,RESM,RESS,Sonic,SP,SW,VShale,Lithology
700,,,,,,,0.34,,,,13.5,12.64,507.64,,570.34,,,
700.5,,,,,,55.64,0.38,,,,13.28,12.71,507.64,,570.54,,,
701,,,,,,55.12,0.38,,,,12.98,12.51,507.77,,570.83,,,
701.5,,,,,,55.32,0.37,,,,12.37,11.93,507.36,,570.27,,,
702,,,,2.09,,57.05,0.38,15.97,,,11.41,11.03,517.59,,569.14,,,
702.5,,,,2.12,,59.7,0.47,15.8,,,10.37,10.06,517.59,,568.26,,,
703,,,,2.14,,62.37,0.41,15.67,,,9.58,9.3,507.36,,567.86,,,
703.5,,,,2.17,,63.66,0.39,15.74,,,9.11,8.9,507.77,,567.87,,,
704,,,,2.2,,62.64,0.42,15.65,,,8.89,8.78,507.64,,567.94,,,
704.5,,,,2.18,,60.6,0.4,15.64,,,8.82,8.78,507.64,,567.58,,,
705,,,,2.16,,59.06,0.43,15.85,,,8.83,8.76,507.64,,567.14,,,
705.5,,,,2.15,,57.79,0.45,15.95,,,9.1,8.91,508.29,,567.22,,,
706,,,,2.15,,55.47,0.42,16.07,,,9.83,9.49,503.74,,567.9,,,
706.5,,,,2.17,,52.97,0.38,16.12,,,10.72,10.29,495.29,,568.62,,,
707,,,,2.16,,52.66,0.41,16.24,,,11.33,10.89,503.74,,568.84,,,
707.5,,,,2.2,,55.14,0.35,16.13,,,11.34,10.96,508.81,,569.08,,,
708,,,,2.22,,57.95,0.38,15.8,,,10.67,10.38,503.88,,569.87,,,
708.5,,,,2.35,,58.34,0.41,15.7,,,9.68,9.48,487.02,,570.84,,,
709,,,,2.12,,55.87,0.42,15.68,,,9.06,8.87,482.12,,571.47,,,
709.5,,,,1.98,,51.91,0.47,15.17,,,9.07,8.84,484.03,,571.99,,,
710,,,,2.13,,48.46,0.46,15.45,,,9.58,9.29,480.61,,572.4,,,
710.5,,,,2.12,,46.71,0.41,15.57,,,10.47,10.13,460.66,,572.06,,,
711,,,,1.89,,47.51,0.38,15.7,,,11.33,10.9,444.01,,570.97,,,
711.5,,,,2.27,,51.05,0.38,15.99,,,11.49,11,277.03,,570.03,,,
712,,,,2.23,,56.28,0.38,16.31,,,10.69,10.2,260,,569.73,,,
712.5,,,,2.16,,61.16,0.4,16.68,,,9.49,9.06,9.56,,568.98,,,
713,,,,2.16,,63.79,0.45,16.63,,,8.55,8.21,3.6,,567.38,,,
713.5,,,,2.17,,64.59,0.49,16.72,,,8.17,7.86,2.55,,566.35,,,
714,,,,2.14,,64.59,0.49,16.76,,,8.15,7.86,2,,566.66,,,
714.5,,,,2.14,,64.96,0.4,16.84,,,8.18,7.9,2.47,,567.3,,,
715,,,,2.14,,65.39,0.41,16.81,,,8.1,7.86,1.91,,567.72,,,
715.5,,,,2.14,,65.11,0.45,16.8,,,7.88,7.68,1.39,,568.03,,,
716,,,,2.14,,63.78,0.46,16.79,,,7.61,7.44,1.42,,568.09,,,
