,DEPT,CAL1IN,CAL2IN,CDTF,GRP,ILD,ILM,ITT,SFLA,GRGC_x,DT35_x,CLYC,DSLL,DDLL_x,CLXC_x,RILS,RILM,RILD,NPRL,DEN_x,CoreNo,MD,PERM_H,PERM_V,PORO,Bdensity,GrainDensity,PhiDSS,PhieN,PhiAvgSS,VCLGR,ResRatio,GRGC_y,GCGR,BIT,CLXC_y,Neut,DEN_y,MRRS,DDLL_y,DT35_y,Phie,PhiT,BVW,BVWsxo,VClay,VCLND,ResRatio2
0,17.5,,,,,,,,,-13076.65234,8924.192383,-1177.880371,443.644165,-2277.440674,-770.861877,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1,18.0,,,,,,,,,-13076.65234,8924.192383,-1177.880371,443.644165,-2277.440674,-770.861877,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
2,18.5,,,,,,,,,-13076.65234,8924.192383,-1177.880371,443.644165,-2277.440674,-770.861877,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
3,19.0,,,,,,,,,-13076.65234,8924.192383,-1177.880371,443.644165,-2277.440674,-770.861877,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
4,19.5,,,,,,,,,-13076.65234,8924.192383,-1177.880371,443.644165,-2277.440674,-770.861877,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
5,20.0,,,,,,,,,-13076.65234,8924.192383,-1177.880371,443.644165,-2277.440674,-770.861877,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
6,20.5,,,,,,,,,-13076.65234,8924.192383,-1177.880371,443.644165,-2277.440674,-770.861877,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
7,21.0,,,,,,,,,-13076.65234,8924.192383,-1177.880371,443.644165,-2277.440674,-770.861877,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
8,21.5,,,,,,,,,-13076.65234,8924.192383,-1177.880371,443.644165,-2277.440674,-770.861877,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9,22.0,,,,,,,,,-13076.65234,8924.192383,-1177.880371,443.644165,-2277.440674,-770.861877,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10,22.5,,,,,,,,,-13076.65234,8924.192383,-1177.880371,443.644165,-2277.440674,-770.861877,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
11,23.0,,,,,,,,,-13076.65234,8924.192383,-1177.880371,443.644165,-2277.440674,-770.861877,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12,23.5,,,,,,,,,-13076.65234,8924.192383,-1177.880371,443.644165,-2277.440674,-770.861877,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
13,24.0,,,,,,,,,-13076.65234,8924.192383,-1177.880371,443.644165,-2277.440674,-770.861877,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
14,24.5,,,,,,,,,-13076.65234,8924.192383,-1177.880371,443.644165,-2277.440674,-770.861877,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
15,25.0,,,,,,,,,-13076.65234,8924.192383,-1177.880371,443.644165,-2277.440674,-770.861877,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
16,25.5,,,,,,,,,-13076.65234,8924.192383,-1177.880371,443.644165,-2277.440674,-770.861877,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
17,26.0,,,,,,,,,-13076.65234,8924.192383,-1177.880371,443.644165,-2277.440674,-770.861877,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
18,26.5,,,,,,,,,-13076.65234,8924.192383,-1177.880371,443.644165,-2277.440674,-770.861877,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
19,27.0,,,,,,,,,-13076.65234,8924.192383,-1177.880371,443.644165,-2277.440674,-770.861877,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
20,27.5,,,,,,,,,-13076.65234,8924.192383,-1177.880371,443.644165,-2277.440674,-770.861877,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
21,28.0,,,,,,,,,-13076.65234,8924.192383,-1177.880371,443.644165,-2277.440674,-770.861877,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
22,28.5,,,,,,,,,-13076.65234,8924.192383,-1177.880371,443.644165,-2277.440674,-770.861877,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
23,29.0,,,,,,,,,-13076.65234,8924.192383,-1177.880371,443.644165,-2277.440674,-770.861877,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
24,29.5,,,,,,,,,-13076.65234,8924.192383,-1177.880371,443.644165,-2277.440674,-770.861877,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
25,30.0,,,,,,,,,-13076.65234,8924.192383,-1177.880371,443.644165,-2277.440674,-770.861877,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
