CoreNo,MD,MDShifted,PERM_H,PERM_V,PORO,Bdensity,GrainDensity
1,3885.11,3896.1,245.6,,19.6,2.33,2.65
1,3886.1,3897.1,269.3,238.1,20.3,2.32,2.65
1,3887.11,3898.1,274.5,,21.3,2.31,2.66
1,3888.1,3899.1,280.6,320.6,20.4,2.31,2.65
1,3889.09,3900.1,249.4,,18.9,2.34,2.65
1,3890.1,3901.1,196.7,,18.9,2.34,2.65
1,3891.09,3902.1,165.4,,18.1,2.35,2.65
1,3892.08,3903.1,153.7,,19.1,2.33,2.65
1,3894.01,3905.0,165.9,154.3,19.6,2.33,2.65
1,3894.1,3905.1,39.0,,16.4,2.38,2.65
1,3895.1,3906.1,11.8,,13.7,2.42,2.65
1,3896.1,3907.1,79.3,90.8,17.1,2.37,2.65
1,3897.09,3908.1,46.1,,16.9,2.37,2.65
1,3899,3910.0,64.2,,18.8,2.34,2.65
1,3900,3911.0,85.2,75.8,19.0,2.34,2.65
1,3901.01,3912.0,76.3,,19.5,2.33,2.65
1,3902.08,3913.1,79.5,74.1,19.4,2.33,2.65
1,3903.1,3914.1,46.4,,18.9,2.34,2.65
1,3904.1,3915.1,17.2,,16.3,2.38,2.65
1,3905.11,3916.1,2.3,0.1,13.1,2.43,2.65
1,3906.1,3917.1,0.3,0.1,10.1,2.46,2.62
1,3908.11,3919.1,0.1,,14.0,2.42,2.65
1,3910.09,3921.1,1.4,,13.0,2.43,2.64
1,3912.02,3923.0,3.7,3.8,14.3,2.41,2.64
1,3913.02,3924.0,9.9,,16.1,2.38,2.64
1,3915.01,3926.0,13.2,16.6,13.0,2.44,2.65
1,3916.02,3927.0,1.0,,11.6,2.45,2.64
1,3917.02,3928.0,8.0,,14.7,2.40,2.64
1,3918.01,3929.0,18.2,4.7,15.8,2.39,2.65
1,3919.04,3930.0,35.6,,15.4,2.40,2.65
1,3920.01,3931.0,47.8,20.4,16.1,2.38,2.65
1,3921.04,3932.0,13.2,,12.4,2.45,2.65
2,3925.08,3933.0,23.8,,14.9,2.40,2.65
