,DEPT,GRGC,NPRL,DEN,FE,DDLLDS,DSLLDS,SPCGds,DTC,"Sample
No.",PERM,Comments,PhiDSS,PhieN,PhiAvgSS,VCLGR,VCLND,ResRatio,ResRatio2
0,800.0,,,,,,,,,,,,,,,,,,
1,800.5,,,,,,,,,,,,,,,,,,
2,801.0,,,,,,,,,,,,,,,,,,
3,801.5,,,,,,,,,,,,,,,,,,
4,802.0,,,,,,,,,,,,,,,,,,
5,802.5,,,,,,,,,,,,,,,,,,
6,803.0,,,,,,,,,,,,,,,,,,
7,803.5,,,,,,,,,,,,,,,,,,
8,804.0,,,,,,,,,,,,,,,,,,
9,804.5,,,,,,,,,,,,,,,,,,
10,805.0,,,,,,,,,,,,,,,,,,
11,805.5,,,,,,,,,,,,,,,,,,
12,806.0,,,,,,,,,,,,,,,,,,
13,806.5,,,,,,,,,,,,,,,,,,
14,807.0,,,,,,,,,,,,,,,,,,
15,807.5,,,,,,,,,,,,,,,,,,
16,808.0,,,,,,,,,,,,,,,,,,
17,808.5,,,,,,,,,,,,,,,,,,
18,809.0,,,,,,,,,,,,,,,,,,
19,809.5,,,,,,,,,,,,,,,,,,
20,810.0,,,,,,,,,,,,,,,,,,
21,810.5,,,,,,,,,,,,,,,,,,
22,811.0,,,,,,,,,,,,,,,,,,
23,811.5,,,,,,,,,,,,,,,,,,
24,812.0,,,,,,,,,,,,,,,,,,
25,812.5,,,,,,,,,,,,,,,,,,
26,813.0,,,,,,,,,,,,,,,,,,
27,813.5,,,,,,,,,,,,,,,,,,
28,814.0,,,,,,,,,,,,,,,,,,
29,814.5,,,,,,,,,,,,,,,,,,
30,815.0,,,,,,,,,,,,,,,,,,
31,815.5,,,,,,,,,,,,,,,,,,
32,816.0,,,,,,,,,,,,,,,,,,
33,816.5,,,,,,,,,,,,,,,,,,
34,817.0,,,,,,,,,,,,,,,,,,
35,817.5,,,,,,,,,,,,,,,,,,
36,818.0,,,,,,,,,,,,,,,,,,
37,818.5,,,,,,,,,,,,,,,,,,
38,819.0,,,,,,,,,,,,,,,,,,
39,819.5,,,,,,,,,,,,,,,,,,
40,820.0,,,,,,,,,,,,,,,,,,
41,820.5,,,,,,,,,,,,,,,,,,
42,821.0,,,,,,,,,,,,,,,,,,
43,821.5,,,,,,,,,,,,,,,,,,
44,822.0,,,,,,,,,,,,,,,,,,
45,822.5,,,,,,,,,,,,,,,,,,
46,823.0,,,,,,,,,,,,,,,,,,
47,823.5,,,,,,,,,,,,,,,,,,
48,824.0,,,,,,,,,,,,,,,,,,
49,824.5,,,,,,,,,,,,,,,,,,
50,825.0,,,,,,,,,,,,,,,,,,
51,825.5,,,,,,,,,,,,,,,,,,
52,826.0,,,,,,,,,,,,,,,,,,
53,826.5,,,,,,,,,,,,,,,,,,
54,827.0,,,,,,,,,,,,,,,,,,
55,827.5,,,,,,,,,,,,,,,,,,
56,828.0,,,,,,,,,,,,,,,,,,
57,828.5,,,,,,,,,,,,,,,,,,
58,829.0,,,,,,,,,,,,,,,,,,
59,829.5,,,,,,,,,,,,,,,,,,
60,830.0,,,,,,,,,,,,,,,,,,
61,830.5,,,,,,,,,,,,,,,,,,
62,831.0,,,,,,,,,,,,,,,,,,
63,831.5,,,,,,,,,,,,,,,,,,
64,832.0,,,,,,,,,,,,,,,,,,
65,832.5,,,,,,,,,,,,,,,,,,
66,833.0,,,,,,,,,,,,,,,,,,
67,833.5,,,,,,,,,,,,,,,,,,
68,834.0,,,,,,,,,,,,,,,,,,
69,834.5,,,,,,,,,,,,,,,,,,
70,835.0,,,,,,,,,,,,,,,,,,
71,835.5,,,,,,,,,,,,,,,,,,
72,836.0,,,,,,,,,,,,,,,,,,
73,836.5,,,,,,,,,,,,,,,,,,
74,837.0,,,,,,,,,,,,,,,,,,
75,837.5,,,,,,,,,,,,,,,,,,
76,838.0,,,,,,,,,,,,,,,,,,
77,838.5,,,,,,,,,,,,,,,,,,
78,839.0,,,,,,,,,,,,,,,,,,
79,839.5,,,,,,,,,,,,,,,,,,
80,840.0,,,,,,,,,,,,,,,,,,
81,840.5,,,,,,,,,,,,,,,,,,
82,841.0,,,,,,,,,,,,,,,,,,
83,841.5,,,,,,,,,,,,,,,,,,
84,842.0,,,,,,,,,,,,,,,,,,
85,842.5,,,,,,,,,,,,,,,,,,
86,843.0,,,,,,,,,,,,,,,,,,
87,843.5,,,,,,,,,,,,,,,,,,
88,844.0,,,,,,,,,,,,,,,,,,
89,844.5,,,,,,,,,,,,,,,,,,
90,845.0,,,,,,,,,,,,,,,,,,
91,845.5,,,,,,,,,,,,,,,,,,
92,846.0,,,,,,,,,,,,,,,,,,
93,846.5,,,,,,,,,,,,,,,,,,
94,847.0,,,,,,,,,,,,,,,,,,
95,847.5,,,,,,,,,,,,,,,,,,
96,848.0,,,,,,,,,,,,,,,,,,
97,848.5,,,,,,,,,,,,,,,,,,
98,849.0,,,,,,,,,,,,,,,,,,
