DEPTH,CPERM,CPOR,RQI,PHIZ,FZI,WELL
3545,0.700,0.040,0.130,0.040,3.15,wb1
3547,2.200,0.100,0.150,0.110,1.33,wb1
3548,1.100,0.100,0.100,0.110,0.94,wb1
3550,1.300,0.100,0.110,0.110,1.02,wb1
3552,1.000,0.070,0.120,0.080,1.58,wb1
3553,1.300,0.100,0.110,0.110,1.02,wb1
3361,0.050,0.040,0.040,0.040,0.84,wb4
3362,0.020,0.060,0.020,0.060,0.28,wb4
3363,0.840,0.090,0.100,0.100,0.97,wb4
3364,0.590,0.090,0.080,0.100,0.81,wb4
3365,0.680,0.100,0.080,0.110,0.74,wb4
3366,0.580,0.100,0.080,0.110,0.68,wb4
3367,0.650,0.100,0.080,0.110,0.72,wb4
3368,0.330,0.060,0.070,0.060,1.15,wb4
3369,0.230,0.070,0.060,0.080,0.76,wb4
3370,1.210,0.100,0.110,0.110,0.98,wb4
3371,0.880,0.100,0.090,0.110,0.84,wb4
3372,0.890,0.100,0.090,0.110,0.84,wb4
3112,0.030,0.090,0.020,0.100,0.18,wc1
3114.6,0.140,0.110,0.040,0.120,0.29,wc1
3029,5.260,0.110,0.220,0.120,1.76,we1
3032,13.550,0.110,0.350,0.120,2.82,we1
3038,130.010,0.110,1.080,0.120,8.73,we1
3043,161.570,0.130,1.110,0.150,7.41,we1
3045,321.810,0.130,1.560,0.150,10.46,we1
3049,176.820,0.150,1.080,0.180,6.11,we1
3051,102.650,0.120,0.920,0.140,6.73,we1
3615,0.430,0.130,0.060,0.150,0.38,we1
3619,0.100,0.150,0.030,0.180,0.15,we1
3626,0.170,0.120,0.040,0.140,0.27,we1
3626,0.220,0.120,0.040,0.140,0.31,we1
3629,0.200,0.090,0.050,0.100,0.47,we1
3632,0.510,0.110,0.070,0.120,0.55,we1
3635,5.860,0.100,0.240,0.110,2.16,we1
3638,6.140,0.150,0.200,0.180,1.14,we1
3641,0.810,0.120,0.080,0.140,0.6,we1
3642,0.120,0.080,0.040,0.090,0.44,we1
4861,83.170,0.140,0.770,0.160,4.7,wf1
4862,94.400,0.150,0.790,0.180,4.46,wf1
4863,112.320,0.130,0.920,0.150,6.18,wf1
4864,151.800,0.140,1.030,0.160,6.35,wf1
4865.5,118.000,0.130,0.950,0.150,6.33,wf1
4866,2.150,0.080,0.160,0.090,1.87,wf1
4867,0.660,0.080,0.090,0.090,1.04,wf1
4867,47.110,0.130,0.600,0.150,4,wf1
4869,488.890,0.210,1.520,0.270,5.7,wf1
4871,0.000,0.010,0.000,0.010,0,wf1
4872,0.060,0.010,0.080,0.010,7.61,wf1
4873,0.000,0.020,0.000,0.020,0,wf1
4875,0.000,0.010,0.000,0.010,0,wf1
4876,0.030,0.020,0.040,0.020,1.88,wf1
4878,0.010,0.010,0.030,0.010,3.11,wf1
4879,0.000,0.040,0.000,0.040,0,wf1
4882,0.000,0.020,0.000,0.020,0,wf1
4883,0.000,0.020,0.000,0.020,0,wf1
4885,0.000,0.010,0.000,0.010,0,wf1
4886,0.000,0.020,0.000,0.020,0,wf1
4887,0.000,0.030,0.000,0.030,0,wf1
4888,0.000,0.020,0.000,0.020,0,wf1
4891,0.000,0.020,0.000,0.020,0,wf1
4892,0.000,0.010,0.000,0.010,0,wf1
4893,0.000,0.010,0.000,0.010,0,wf1
4894,0.000,0.020,0.000,0.020,0,wf1
4896,0.000,0.040,0.000,0.040,0,wf1
4897,0.000,0.020,0.000,0.020,0,wf1
4899,0.000,0.020,0.000,0.020,0,wf1
4900,0.000,0.020,0.000,0.020,0,wf1
4902,0.000,0.020,0.000,0.020,0,wf1
4903,0.000,0.010,0.000,0.010,0,wf1
4905,0.000,0.020,0.000,0.020,0,wf1
4908,0.000,0.010,0.000,0.010,0,wf1
4909,0.000,0.020,0.000,0.020,0,wf1
4910,0.000,0.020,0.000,0.020,0,wf1
4911,0.000,0.010,0.000,0.010,0,wf1
4912,0.000,0.020,0.000,0.020,0,wf1
4914,0.000,0.040,0.000,0.040,0,wf1
4915,0.030,0.060,0.020,0.060,0.35,wf1
4920.5,115.000,0.160,0.840,0.190,4.42,wf1
4944,0.020,0.070,0.020,0.080,0.22,wf1
4945,0.000,0.050,0.000,0.050,0,wf1
4945.5,36.370,0.130,0.530,0.150,3.51,wf1
4947,0.010,0.050,0.010,0.050,0.27,wf1
4949,0.560,0.080,0.080,0.090,0.96,wf1
4950,2.230,0.130,0.130,0.150,0.87,wf1
4951,1.310,0.080,0.130,0.090,1.46,wf1
4952,1.770,0.090,0.140,0.100,1.41,wf1
4953,0.470,0.070,0.080,0.080,1.08,wf1
4953,0.090,0.070,0.040,0.080,0.47,wf1
4955,0.130,0.060,0.050,0.060,0.72,wf1
4955,0.050,0.080,0.020,0.090,0.29,wf1
4956,0.320,0.090,0.060,0.100,0.6,wf1
4958,0.170,0.120,0.040,0.140,0.27,wf1
4960,1.130,0.110,0.100,0.120,0.81,wf1
4962,1.150,0.100,0.110,0.110,0.96,wf1
4963,1.970,0.080,0.160,0.090,1.79,wf1
4965,93.130,0.120,0.870,0.140,6.41,wf1
4965,62.760,0.090,0.830,0.100,8.38,wf1
4967,0.100,0.050,0.040,0.050,0.84,wf1
4968,81.270,0.130,0.790,0.150,5.25,wf1
4969,74.820,0.130,0.750,0.150,5.04,wf1
4970,146.160,0.150,0.980,0.180,5.55,wf1
4971,238.510,0.160,1.210,0.190,6.36,wf1
4972,0.000,0.050,0.000,0.050,0,wf1
4972.5,0.000,0.030,0.000,0.030,0,wf1
2955,0.500,0.090,0.070,0.100,0.75,wh1
2956,0.100,0.040,0.050,0.040,1.19,wh1
2960,0.180,0.080,0.050,0.090,0.54,wh1
2962,3.540,0.080,0.210,0.090,2.4,wh1
2964,0.610,0.100,0.080,0.110,0.7,wh1
2965,0.090,0.070,0.040,0.080,0.47,wh1
2970,4.970,0.120,0.200,0.140,1.48,wh1
1170.8,365.000,0.190,1.380,0.230,5.87,wn1
1177.5,362.000,0.210,1.300,0.270,4.9,wn1
1432.5,249.000,0.200,1.110,0.250,4.43,wn1
1448,171.000,0.210,0.900,0.270,3.37,wn1
3359.1,5.890,0.080,0.270,0.090,3.1,wb7
3361.1,8.480,0.080,0.320,0.090,3.72,wb7
3362.3,0.010,0.070,0.010,0.080,0.16,wb7
3363.3,0.010,0.070,0.010,0.080,0.16,wb7
3364.3,0.010,0.070,0.010,0.080,0.16,wb7
3365.4,0.250,0.050,0.070,0.050,1.33,wb7
3366.5,0.010,0.030,0.020,0.030,0.59,wb7
3367.6,0.010,0.050,0.010,0.050,0.27,wb7
3371.3,0.000,0.060,0.000,0.060,0,wb7
3372.3,0.010,0.060,0.010,0.060,0.2,wb7
3373.2,0.120,0.100,0.030,0.110,0.31,wb7
