DEPTH,CPERM,CPOR,RQI,PHIZ,FZI,WELL
3545,0.7,0.04,0.13,0.04,3.15,wb1
3547,2.2,0.1,0.15,0.11,1.33,wb1
3548,1.1,0.1,0.1,0.11,0.94,wb1
3550,1.3,0.1,0.11,0.11,1.02,wb1
3552,1,0.07,0.12,0.08,1.58,wb1
3553,1.3,0.1,0.11,0.11,1.02,wb1
3361,0.05,0.04,0.04,0.04,0.84,wb4
3362,0.02,0.06,0.02,0.06,0.28,wb4
3363,0.84,0.09,0.1,0.1,0.97,wb4
3364,0.59,0.09,0.08,0.1,0.81,wb4
3365,0.68,0.1,0.08,0.11,0.74,wb4
3366,0.58,0.1,0.08,0.11,0.68,wb4
3367,0.65,0.1,0.08,0.11,0.72,wb4
3368,0.33,0.06,0.07,0.06,1.15,wb4
3369,0.23,0.07,0.06,0.08,0.76,wb4
3370,1.21,0.1,0.11,0.11,0.98,wb4
3371,0.88,0.1,0.09,0.11,0.84,wb4
3372,0.89,0.1,0.09,0.11,0.84,wb4
3112,0.03,0.09,0.02,0.1,0.18,wc1
3114.6,0.14,0.11,0.04,0.12,0.29,wc1
3029,5.26,0.11,0.22,0.12,1.76,we1
3032,13.55,0.11,0.35,0.12,2.82,we1
3038,130.01,0.11,1.08,0.12,8.73,we1
3043,161.57,0.13,1.11,0.15,7.41,we1
3045,321.81,0.13,1.56,0.15,10.46,we1
3049,176.82,0.15,1.08,0.18,6.11,we1
3051,102.65,0.12,0.92,0.14,6.73,we1
3615,0.43,0.13,0.06,0.15,0.38,we1
3619,0.1,0.15,0.03,0.18,0.15,we1
3626,0.17,0.12,0.04,0.14,0.27,we1
3626,0.22,0.12,0.04,0.14,0.31,we1
3629,0.2,0.09,0.05,0.1,0.47,we1
3632,0.51,0.11,0.07,0.12,0.55,we1
3635,5.86,0.1,0.24,0.11,2.16,we1
3638,6.14,0.15,0.2,0.18,1.14,we1
3641,0.81,0.12,0.08,0.14,0.6,we1
3642,0.12,0.08,0.04,0.09,0.44,we1
4861,83.17,0.14,0.77,0.16,4.7,wf1
4862,94.4,0.15,0.79,0.18,4.46,wf1
4863,112.32,0.13,0.92,0.15,6.18,wf1
4864,151.8,0.14,1.03,0.16,6.35,wf1
4865.5,118,0.13,0.95,0.15,6.33,wf1
4866,2.15,0.08,0.16,0.09,1.87,wf1
4867,0.66,0.08,0.09,0.09,1.04,wf1
4867,47.11,0.13,0.6,0.15,4,wf1
4869,488.89,0.21,1.52,0.27,5.7,wf1
4872,0.06,0.01,0.08,0.01,7.61,wf1
4876,0.03,0.02,0.04,0.02,1.88,wf1
4878,0.01,0.01,0.03,0.01,3.11,wf1
4915,0.03,0.06,0.02,0.06,0.35,wf1
4920.5,115,0.16,0.84,0.19,4.42,wf1
4944,0.02,0.07,0.02,0.08,0.22,wf1
4945.5,36.37,0.13,0.53,0.15,3.51,wf1
4947,0.01,0.05,0.01,0.05,0.27,wf1
4949,0.56,0.08,0.08,0.09,0.96,wf1
4950,2.23,0.13,0.13,0.15,0.87,wf1
4951,1.31,0.08,0.13,0.09,1.46,wf1
4952,1.77,0.09,0.14,0.1,1.41,wf1
4953,0.47,0.07,0.08,0.08,1.08,wf1
4953,0.09,0.07,0.04,0.08,0.47,wf1
4955,0.13,0.06,0.05,0.06,0.72,wf1
4955,0.05,0.08,0.02,0.09,0.29,wf1
4956,0.32,0.09,0.06,0.1,0.6,wf1
4958,0.17,0.12,0.04,0.14,0.27,wf1
4960,1.13,0.11,0.1,0.12,0.81,wf1
4962,1.15,0.1,0.11,0.11,0.96,wf1
4963,1.97,0.08,0.16,0.09,1.79,wf1
4965,93.13,0.12,0.87,0.14,6.41,wf1
4965,62.76,0.09,0.83,0.1,8.38,wf1
4967,0.1,0.05,0.04,0.05,0.84,wf1
4968,81.27,0.13,0.79,0.15,5.25,wf1
4969,74.82,0.13,0.75,0.15,5.04,wf1
4970,146.16,0.15,0.98,0.18,5.55,wf1
4971,238.51,0.16,1.21,0.19,6.36,wf1
2955,0.5,0.09,0.07,0.1,0.75,wh1
2956,0.1,0.04,0.05,0.04,1.19,wh1
2960,0.18,0.08,0.05,0.09,0.54,wh1
2962,3.54,0.08,0.21,0.09,2.4,wh1
2964,0.61,0.1,0.08,0.11,0.7,wh1
2965,0.09,0.07,0.04,0.08,0.47,wh1
2970,4.97,0.12,0.2,0.14,1.48,wh1
1170.8,365,0.19,1.38,0.23,5.87,wn1
1177.5,362,0.21,1.3,0.27,4.9,wn1
1432.5,249,0.2,1.11,0.25,4.43,wn1
1448,171,0.21,0.9,0.27,3.37,wn1
3359.1,5.89,0.08,0.27,0.09,3.1,wb7
3361.1,8.48,0.08,0.32,0.09,3.72,wb7
3362.3,0.01,0.07,0.01,0.08,0.16,wb7
3363.3,0.01,0.07,0.01,0.08,0.16,wb7
3364.3,0.01,0.07,0.01,0.08,0.16,wb7
3365.4,0.25,0.05,0.07,0.05,1.33,wb7
3366.5,0.01,0.03,0.02,0.03,0.59,wb7
3367.6,0.01,0.05,0.01,0.05,0.27,wb7
3372.3,0.01,0.06,0.01,0.06,0.2,wb7
3373.2,0.12,0.1,0.03,0.11,0.31,wb7
3374.7,0.12,0.11,0.03,0.12,0.27,wb7
3375.4,0.21,0.1,0.05,0.11,0.41,wb7
3376.4,0.08,0.1,0.03,0.11,0.25,wb7
3377.3,0.19,0.12,0.04,0.14,0.29,wb7
3378.6,0.02,0.08,0.02,0.09,0.18,wb7
3379.7,0.02,0.07,0.02,0.08,0.22,wb7
3380.5,0.17,0.11,0.04,0.12,0.32,wb7
3381.3,0.25,0.11,0.05,0.12,0.38,wb7
3382.6,0.35,0.12,0.05,0.14,0.39,wb7
3384.3,0.06,0.09,0.03,0.1,0.26,wb7
3385.4,0.06,0.12,0.02,0.14,0.16,wb7
3386.3,0.09,0.11,0.03,0.12,0.23,wb7
3386.8,0.22,0.13,0.04,0.15,0.27,wb7
3387.3,0.03,0.1,0.02,0.11,0.15,wb7
3388.4,0.02,0.08,0.02,0.09,0.18,wb7
3389.1,0.01,0.05,0.01,0.05,0.27,wb7
3390.4,0.01,0.07,0.01,0.08,0.16,wb7
3391.5,0.37,0.11,0.06,0.12,0.47,wb7
3392.5,0.02,0.08,0.02,0.09,0.18,wb7
3393.2,0.02,0.08,0.02,0.09,0.18,wb7
3394.6,0.01,0.07,0.01,0.08,0.16,wb7
3395.4,0.03,0.09,0.02,0.1,0.18,wb7
3396.3,0.02,0.08,0.02,0.09,0.18,wb7
3397.6,0.01,0.1,0.01,0.11,0.09,wb7
3398.8,0.03,0.06,0.02,0.06,0.35,wb7
3399.5,141.17,0.18,0.88,0.22,4.01,wb7
3400,138.46,0.16,0.92,0.19,4.85,wb7
3401.3,139.81,0.16,0.93,0.19,4.87,wb7
3401.9,21.46,0.13,0.4,0.15,2.7,wb7
3402.5,43.63,0.14,0.55,0.16,3.41,wb7
